District,Center,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisturevol01,soilmoisturevol04,soilmoisturevol10,soilmoisturevol20,
Moyenne Globale,Moyenne Globale,31,18.6,24.2,30.1,18.6,24.2,16,62.6,0.2,100,8.33,rain,0,0,26.3,16.6,98.3,1015.8,39.4,9.6,288.3,24.9,10,22.3,21.9,21.7,21.7,37.4,113.7,146.4,352.4,0.374,0.379,0.366,0.352
Moyenne Globale,Moyenne Globale,29.2,17.4,23.1,29.1,17.4,23.1,16.2,68,1.1,100,20.83,rain,0,0,26.3,11.2,103.5,1015.2,56.7,9.7,251.4,21.7,9,22.2,22,21.7,21.7,36.3,112.1,145.8,352,0.363,0.374,0.365,0.352
Moyenne Globale,Moyenne Globale,31.9,17,22.7,31.6,17,22.8,16.7,71.7,0.2,100,4.17,rain,0,0,25.2,25.9,68.6,1017.8,54.2,9.5,273.9,23.8,9,22.5,22.1,21.7,21.7,36,110.9,145.4,352,0.36,0.37,0.363,0.352
Moyenne Globale,Moyenne Globale,30,15,22.6,29.7,15,22.7,15.7,68.9,0,0,0,,0,0,23.4,14.8,95.5,1018.5,47.6,9.9,303.3,26.2,10,22.7,22.2,21.7,21.7,36.6,110.8,145.8,352,0.366,0.369,0.364,0.352
Moyenne Globale,Moyenne Globale,31,17,23.6,30.6,17,23.7,15.7,63.7,0,0,0,,0,0,26.6,13,61.8,1017.2,34.8,9.9,288.2,24.9,10,22.6,22.2,21.7,21.7,35.6,110.1,145.5,352,0.356,0.367,0.364,0.352
Moyenne Globale,Moyenne Globale,31,17,23.5,31,17,23.6,16.1,65.6,0,0,0,,0,0,29.5,14.8,158.5,1016.3,49.4,10,261.4,22.5,10,22.9,22.4,21.7,21.7,34.7,109.4,145.5,352,0.347,0.365,0.364,0.352
Musanze,Musanze,30.2,17,22.9,30.5,17,23,17.6,74.8,0,0,0,,0,0,28.1,18.4,124.5,1017.1,55.8,10,230.4,20,8,17.7,17.6,17.5,17.5,43.1,134.9,184.3,460,0.431,0.45,0.461,0.46
Musanze,Musanze,28,17.9,21.2,28.3,17.9,21.2,16.3,76,0,0,0,,0,0,28.1,13,228.6,1019.4,68.6,10,251.4,21.8,9,17.8,17.7,17.5,17.5,42.6,133.4,183.6,460,0.426,0.445,0.459,0.46
Musanze,Musanze,26.1,15.1,21,26.1,15.1,21,15.2,72,7,100,4.17,rain,0,0,23.8,7.6,181.9,1019.1,50.8,10.1,250.7,21.6,9,17.9,17.8,17.5,17.5,42,132.2,182.7,460,0.42,0.441,0.457,0.46
Musanze,Musanze,29,17.9,22.5,28.8,17.9,22.5,15.2,65,0,0,0,,0,0,25.9,18.4,65.5,1019.3,61.9,10.2,249.9,21.6,9,17.3,17.5,17.5,17.5,41.4,131.3,183.9,460,0.414,0.438,0.46,0.46
Musanze,Musanze,29,19,23,29.1,19,23.1,16.9,69.8,9.502,100,4.17,rain,0,0,24.1,14.8,83.6,1019.2,57.3,8.7,263.6,22.8,9,17.3,17.5,17.5,17.5,41,130.6,183.4,460,0.41,0.435,0.458,0.46
Musanze,Musanze,25,17.2,20.5,25,17.2,20.5,17.7,85.4,0.9,100,12.5,rain,0,0,23,14.8,180.4,1019,85.7,8,157.7,13.5,5,17.7,17.5,17.5,17.5,41.9,130.2,182.4,460,0.419,0.434,0.456,0.46
Musanze,Musanze,24,14.1,20.1,24,14.1,20.1,16.3,80.1,0.2,100,8.33,rain,0,0,21.2,9.7,108.8,1019,76.1,9.5,195,16.7,8,18.1,17.8,17.5,17.5,43.4,131.8,181.7,460,0.434,0.439,0.454,0.46
Musanze,Musanze,29,18.2,22.6,28.8,18.2,22.6,16.4,71.5,0.2,100,4.17,rain,0,0,27.4,13,72.1,1018.5,56.2,8.7,267.8,23.1,9,18,17.8,17.5,17.5,42.2,131,181.2,459.5,0.422,0.437,0.453,0.46
BURERA,Gahunga,29,17,22.5,28.8,17,22.6,17.1,74.5,0.1,100,4.17,rain,0,0,35.3,18.4,30.7,1018.6,42.5,9.5,288.9,24.7,10,17.7,17.6,17.5,17.5,43.1,134.9,184.3,460,0.431,0.45,0.461,0.46
BURERA,Gahunga,30,14.2,22.7,30,14.2,22.7,15,65.4,0,0,0,,0,0,37.1,18.4,20.5,1017.2,54.3,9.8,285.1,24.6,10,17.8,17.7,17.5,17.5,42.6,133.4,183.6,460,0.426,0.445,0.459,0.46
BURERA,Gahunga,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,33.5,18.4,7,1019.2,45.2,9.8,305.7,26.5,10,17.9,17.8,17.5,17.5,42,132.2,182.7,460,0.42,0.441,0.457,0.46
BURERA,Gahunga,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,26.3,14.8,315.8,1019.5,45.8,9.8,293.8,25.4,10,17.3,17.5,17.5,17.5,41.4,131.3,183.9,460,0.414,0.438,0.46,0.46
